dataset,classifier,primary_metric,mean_primary_value,secondary_metric,mean_secondary_value,tertiary_metric,mean_tertiary_value,primary_repeat_values,secondary_repeat_values,tertiary_repeat_values,successful_repeats
sonar,logistic_regression,size,61.0,,,,,"[61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0]",[],[],10
sonar,svm,size,7169.5,n_support_vectors,117.5,,,"[7017.0, 7200.0, 7139.0, 7505.0, 7017.0, 7139.0, 7017.0, 7261.0, 7444.0, 6956.0]","[115.0, 118.0, 117.0, 123.0, 115.0, 117.0, 115.0, 119.0, 122.0, 114.0]",[],10
sonar,decision_tree,avg_path_features,4.445238,max_path_features,6.3,configured_max_depth,7.5,"[3.880952, 4.642857, 4.785714, 4.714286, 4.214286, 4.238095, 3.785714, 5.261905, 3.928571, 5.0]","[5.0, 5.0, 5.0, 7.0, 5.0, 5.0, 7.0, 8.0, 8.0, 8.0]","[5.0, 5.0, 5.0, 10.0, 5.0, 5.0, 10.0, 10.0, 10.0, 10.0]",10
sonar,random_forest,n_estimators,180.0,max_depth,8.5,,,"[100.0, 300.0, 100.0, 300.0, 100.0, 100.0, 300.0, 100.0, 300.0, 100.0]","[10.0, 5.0, 10.0, 10.0, 10.0, 5.0, 10.0, 10.0, 10.0, 5.0]",[],10
sonar,xgboost,n_estimators,150.0,max_depth,4.2,,,"[100.0, 200.0, 100.0, 200.0, 50.0, 50.0, 200.0, 200.0, 200.0, 200.0]","[3.0, 5.0, 5.0, 3.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0]",[],10
parkinsons,fcalc,size,3432.0,,,,,"[3432.0, 3432.0, 3432.0, 3432.0, 3432.0, 3432.0, 3432.0, 3432.0, 3432.0, 3432.0]",[],[],10
parkinsons,fcalc_rand,size,1100.0,num_iters,25.0,,,"[1320.0, 440.0, 880.0, 2200.0, 440.0, 440.0, 1320.0, 1760.0, 440.0, 1760.0]","[30.0, 10.0, 20.0, 50.0, 10.0, 10.0, 30.0, 40.0, 10.0, 40.0]",[],10
parkinsons,ips_knn,avg_rrc_size,3.412821,max_rrc_size,8.0,,,"[3.487179, 3.461538, 3.25641, 3.051282, 3.102564, 3.307692, 3.435897, 3.615385, 3.666667, 3.74359]","[10.0, 10.0, 5.0, 5.0, 5.0, 6.0, 9.0, 7.0, 7.0, 16.0]",[],10
parkinsons,knn,size,28.6,,,,,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 88.0, 22.0, 22.0, 22.0]",[],[],10
parkinsons,naive_bayes,size,90.0,,,,,"[90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]",[],[],10
parkinsons,logistic_regression,size,23.0,,,,,"[23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0]",[],[],10
