dataset,classifier,primary_metric,mean_primary_value,secondary_metric,mean_secondary_value,tertiary_metric,mean_tertiary_value,primary_repeat_values,secondary_repeat_values,tertiary_repeat_values,successful_repeats
ionosphere,fcalc,size,9520.0,,,,,"[9520.0, 9520.0, 9520.0, 9520.0, 9520.0, 9520.0, 9520.0, 9520.0, 9520.0, 9520.0]",[],[],10
ionosphere,fcalc_rand,size,2720.0,num_iters,40.0,,,"[2720.0, 2720.0, 3400.0, 3400.0, 2720.0, 2720.0, 2720.0, 2040.0, 2040.0, 2720.0]","[40.0, 40.0, 50.0, 50.0, 40.0, 40.0, 40.0, 30.0, 30.0, 40.0]",[],10
ionosphere,ips_knn,avg_rrc_size,7.398592,max_rrc_size,26.0,,,"[6.422535, 6.788732, 6.830986, 6.15493, 7.84507, 8.366197, 7.788732, 7.323944, 7.873239, 8.591549]","[28.0, 15.0, 28.0, 15.0, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0]",[],10
ionosphere,knn,size,68.0,,,,,"[68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0]",[],[],10
ionosphere,naive_bayes,size,138.0,,,,,"[138.0, 138.0, 138.0, 138.0, 138.0, 138.0, 138.0, 138.0, 138.0, 138.0]",[],[],10
ionosphere,logistic_regression,size,35.0,,,,,"[35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0]",[],[],10
ionosphere,svm,size,2917.5,n_support_vectors,83.3,,,"[3747.0, 2697.0, 2522.0, 3712.0, 2312.0, 2557.0, 2697.0, 2592.0, 2872.0, 3467.0]","[107.0, 77.0, 72.0, 106.0, 66.0, 73.0, 77.0, 74.0, 82.0, 99.0]",[],10
ionosphere,decision_tree,avg_path_features,5.515493,max_path_features,8.0,configured_max_depth,7.857143,"[5.253521, 9.352113, 6.690141, 4.816901, 3.971831, 4.380282, 4.915493, 4.394366, 3.633803, 7.746479]","[8.0, 16.0, 11.0, 6.0, 5.0, 5.0, 7.0, 7.0, 5.0, 10.0]","[10.0, 10.0, 5.0, 5.0, 10.0, 5.0, 10.0]",10
ionosphere,random_forest,n_estimators,220.0,max_depth,7.5,,,"[300.0, 100.0, 300.0, 100.0, 300.0, 100.0, 300.0, 300.0, 300.0, 100.0]","[5.0, 10.0, 10.0, 5.0, 5.0, 10.0, 5.0, 5.0, 10.0, 10.0]",[],10
ionosphere,xgboost,n_estimators,135.0,max_depth,4.4,,,"[50.0, 50.0, 200.0, 200.0, 100.0, 200.0, 200.0, 200.0, 50.0, 100.0]","[5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0]",[],10
page_blocks,fcalc,size,43780.0,,,,,"[43780.0, 43780.0, 43780.0, 43780.0, 43780.0, 43780.0, 43780.0, 43780.0, 43780.0, 43780.0]",[],[],10
page_blocks,fcalc_rand,size,1850.0,num_iters,37.0,,,"[500.0, 2500.0, 1000.0, 2500.0, 2000.0, 1000.0, 2000.0, 2000.0, 2500.0, 2500.0]","[10.0, 50.0, 20.0, 50.0, 40.0, 20.0, 40.0, 40.0, 50.0, 50.0]",[],10
page_blocks,ips_knn,avg_rrc_size,5.360091,max_rrc_size,9.9,,,"[5.435616, 5.364384, 5.387215, 5.333333, 5.319635, 5.334247, 5.355251, 5.384475, 5.315982, 5.370776]","[10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0]",[],10
page_blocks,knn,size,31.0,,,,,"[30.0, 30.0, 40.0, 50.0, 20.0, 30.0, 30.0, 30.0, 30.0, 20.0]",[],[],10
page_blocks,naive_bayes,size,42.0,,,,,"[42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0]",[],[],10
page_blocks,logistic_regression,size,11.0,,,,,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]",[],[],10
page_blocks,svm,size,11.0,n_support_vectors,,,,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]",[],[],10
page_blocks,decision_tree,avg_path_features,7.184658,max_path_features,8.6,configured_max_depth,10.0,"[9.219178, 5.890411, 9.089498, 8.313242, 7.505936, 5.848402, 7.715982, 5.808219, 5.795434, 6.660274]","[10.0, 8.0, 10.0, 9.0, 9.0, 8.0, 10.0, 7.0, 7.0, 8.0]","[10.0, 10.0, 10.0, 10.0, 10.0]",10
