dataset,classifier,repeat,split_seed,n_train,n_test,n_features,n_classes,best_params,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,avg_rrc_size,max_rrc_size,rrc_rc_ratio,elapsed_seconds,status,error
parkinsons,naive_bayes,2,1999,156,39,22,2,"{""var_smoothing"": 1e-07}",size,90,,,,,,,,0.0,ok,
parkinsons,xgboost,2,1999,156,39,22,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,200,max_depth,3,,,,,,0.0,ok,
parkinsons,ips_knn,2,1999,156,39,22,2,"{""k"": 1}",avg_rrc_size,3.4615384615384617,max_rrc_size,10.0,,,3.4615384615384617,10.0,0.15734265734265734,1.255,ok,
parkinsons,knn,2,1999,156,39,22,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,22,,,,,,,,0.0,ok,
parkinsons,logistic_regression,2,1999,156,39,22,2,"{""C"": 10, ""penalty"": ""l1"", ""solver"": ""liblinear""}",size,23,,,,,,,,0.0,ok,
parkinsons,svm,2,1999,156,39,22,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,66,size,1520,,,,,,0.002,ok,
parkinsons,decision_tree,2,1999,156,39,22,2,"{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",configured_max_depth,10,max_path_features,4.0,avg_path_features,2.5128205128205128,,,,0.002,ok,
parkinsons,random_forest,2,1999,156,39,22,2,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",n_estimators,100,max_depth,5,,,,,,0.0,ok,
parkinsons,fcalc,2,1999,156,39,22,2,"{""cv_f1"": 0.7510524999920547, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}",size,3432,,,,,,,,0.0,ok,
parkinsons,fcalc_rand,2,1999,156,39,22,2,"{""cv_f1"": 0.7518775995246584, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 10, ""subsample_size"": 3}",size,440,num_iters,10,,,,,,0.0,ok,
parkinsons,naive_bayes,3,2000,156,39,22,2,"{""var_smoothing"": 1e-07}",size,90,,,,,,,,0.0,ok,
parkinsons,xgboost,3,2000,156,39,22,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,200,max_depth,3,,,,,,0.0,ok,
parkinsons,ips_knn,3,2000,156,39,22,2,"{""k"": 1}",avg_rrc_size,3.2564102564102564,max_rrc_size,5.0,,,3.2564102564102564,5.0,0.14801864801864803,1.209,ok,
parkinsons,knn,3,2000,156,39,22,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,22,,,,,,,,0.0,ok,
parkinsons,logistic_regression,3,2000,156,39,22,2,"{""C"": 10, ""penalty"": ""l2"", ""solver"": ""liblinear""}",size,23,,,,,,,,0.0,ok,
parkinsons,svm,3,2000,156,39,22,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,57,size,1313,,,,,,0.002,ok,
parkinsons,decision_tree,3,2000,156,39,22,2,"{""max_depth"": 5, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}",configured_max_depth,5,max_path_features,4.0,avg_path_features,2.3846153846153846,,,,0.002,ok,
parkinsons,random_forest,3,2000,156,39,22,2,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",n_estimators,100,max_depth,5,,,,,,0.0,ok,
parkinsons,fcalc,3,2000,156,39,22,2,"{""cv_f1"": 0.7393056678210443, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}",size,3432,,,,,,,,0.0,ok,
parkinsons,fcalc_rand,3,2000,156,39,22,2,"{""cv_f1"": 0.7955979102292584, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 20, ""subsample_size"": 3}",size,880,num_iters,20,,,,,,0.0,ok,
parkinsons,naive_bayes,4,2001,156,39,22,2,"{""var_smoothing"": 1e-07}",size,90,,,,,,,,0.0,ok,
parkinsons,xgboost,4,2001,156,39,22,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,100,max_depth,5,,,,,,0.0,ok,
parkinsons,ips_knn,4,2001,156,39,22,2,"{""k"": 1}",avg_rrc_size,3.051282051282051,max_rrc_size,5.0,,,3.051282051282051,5.0,0.1386946386946387,1.156,ok,
parkinsons,knn,4,2001,156,39,22,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,22,,,,,,,,0.0,ok,
parkinsons,logistic_regression,4,2001,156,39,22,2,"{""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}",size,23,,,,,,,,0.0,ok,
parkinsons,svm,4,2001,156,39,22,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,61,size,1405,,,,,,0.002,ok,
parkinsons,decision_tree,4,2001,156,39,22,2,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",configured_max_depth,5,max_path_features,5.0,avg_path_features,4.0,,,,0.002,ok,
parkinsons,random_forest,4,2001,156,39,22,2,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",n_estimators,100,max_depth,5,,,,,,0.0,ok,
parkinsons,fcalc,4,2001,156,39,22,2,"{""cv_f1"": 0.7423192624135863, ""family"": ""proximity"", ""method"": ""proximity""}",size,3432,,,,,,,,0.0,ok,
parkinsons,fcalc_rand,4,2001,156,39,22,2,"{""cv_f1"": 0.80839302991312, ""family"": ""proximity"", ""method"": ""proximity"", ""num_iters"": 50, ""subsample_size"": 7}",size,2200,num_iters,50,,,,,,0.0,ok,
parkinsons,naive_bayes,5,2002,156,39,22,2,"{""var_smoothing"": 1e-07}",size,90,,,,,,,,0.0,ok,
parkinsons,xgboost,5,2002,156,39,22,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,200,max_depth,5,,,,,,0.0,ok,
parkinsons,ips_knn,5,2002,156,39,22,2,"{""k"": 4}",avg_rrc_size,3.1025641025641026,max_rrc_size,5.0,,,3.1025641025641026,5.0,0.14102564102564102,1.162,ok,
parkinsons,knn,5,2002,156,39,22,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,22,,,,,,,,0.0,ok,
parkinsons,logistic_regression,5,2002,156,39,22,2,"{""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",size,23,,,,,,,,0.0,ok,
parkinsons,svm,5,2002,156,39,22,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,69,size,1589,,,,,,0.002,ok,
parkinsons,decision_tree,5,2002,156,39,22,2,"{""max_depth"": 5, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",configured_max_depth,5,max_path_features,4.0,avg_path_features,3.128205128205128,,,,0.002,ok,
parkinsons,random_forest,5,2002,156,39,22,2,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",n_estimators,100,max_depth,5,,,,,,0.0,ok,
parkinsons,fcalc,5,2002,156,39,22,2,"{""cv_f1"": 0.7305057645047534, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}",size,3432,,,,,,,,0.0,ok,
parkinsons,fcalc_rand,5,2002,156,39,22,2,"{""cv_f1"": 0.7719638932496075, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 10, ""subsample_size"": 7}",size,440,num_iters,10,,,,,,0.0,ok,
parkinsons,naive_bayes,6,2003,156,39,22,2,"{""var_smoothing"": 1e-07}",size,90,,,,,,,,0.0,ok,
parkinsons,xgboost,6,2003,156,39,22,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,50,max_depth,5,,,,,,0.0,ok,
parkinsons,ips_knn,6,2003,156,39,22,2,"{""k"": 1}",avg_rrc_size,3.3076923076923075,max_rrc_size,6.0,,,3.3076923076923075,6.0,0.15034965034965034,1.213,ok,
parkinsons,knn,6,2003,156,39,22,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,22,,,,,,,,0.001,ok,
parkinsons,logistic_regression,6,2003,156,39,22,2,"{""C"": 100, ""penalty"": ""l1"", ""solver"": ""liblinear""}",size,23,,,,,,,,0.0,ok,
parkinsons,svm,6,2003,156,39,22,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,68,size,1566,,,,,,0.002,ok,
parkinsons,decision_tree,6,2003,156,39,22,2,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",configured_max_depth,10,max_path_features,6.0,avg_path_features,2.9743589743589745,,,,0.002,ok,
parkinsons,random_forest,6,2003,156,39,22,2,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",n_estimators,300,max_depth,10,,,,,,0.001,ok,
parkinsons,fcalc,6,2003,156,39,22,2,"{""cv_f1"": 0.6681610613734795, ""family"": ""proximity"", ""method"": ""proximity-non-falsified""}",size,3432,,,,,,,,0.0,ok,
parkinsons,fcalc_rand,6,2003,156,39,22,2,"{""cv_f1"": 0.7630122346017215, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 10, ""subsample_size"": 3}",size,440,num_iters,10,,,,,,0.0,ok,
parkinsons,naive_bayes,7,2004,156,39,22,2,"{""var_smoothing"": 1e-07}",size,90,,,,,,,,0.0,ok,
