dataset,method,metric,best_k,best_primary_f1_mean,best_primary_f1_ci95,best_retained_mean,best_retained_ci95,best_compression_ratio_mean,best_compression_ratio_ci95,smallest_k_within_1pct,primary_f1_within_1pct,smallest_k_within_3pct,primary_f1_within_3pct,smallest_k_within_5pct,primary_f1_within_5pct
breast_cancer,global_topk,balanced_precision_proxy,388,0.3870967741935484,0.0,388.0,0.0,0.8527472527472527,0.0,388,0.3870967741935484,388,0.3870967741935484,388,0.3870967741935484
breast_cancer,global_topk,chi_squared,388,0.3870967741935484,0.0,388.0,0.0,0.8527472527472527,0.0,388,0.3870967741935484,388,0.3870967741935484,388,0.3870967741935484
breast_cancer,global_topk,delta_stability,5,0.96529077333779,0.0168081485425358,5.0,0.0,0.0109890109890108,1.3079815008865127e-18,3,0.96445122784981,1,0.9445994051686524,1,0.9445994051686524
breast_cancer,global_topk,description_volume,19,0.928166250456708,0.0173756104030472,19.0,0.0,0.0417582417582417,5.2319260035460495e-18,14,0.9211282007226932,12,0.9052316848699868,9,0.8820798319455057
breast_cancer,global_topk,error_rate,5,0.96529077333779,0.0168081485425358,5.0,0.0,0.0109890109890108,1.3079815008865127e-18,3,0.96445122784981,1,0.9445994051686524,1,0.9445994051686524
breast_cancer,global_topk,fn,388,0.3870967741935484,0.0,388.0,0.0,0.8527472527472527,0.0,388,0.3870967741935484,388,0.3870967741935484,388,0.3870967741935484
breast_cancer,global_topk,fp,5,0.96529077333779,0.0168081485425358,5.0,0.0,0.0109890109890108,1.3079815008865127e-18,3,0.96445122784981,1,0.9445994051686524,1,0.9445994051686524
breast_cancer,global_topk,g_test,388,0.3870967741935484,0.0,388.0,0.0,0.8527472527472527,0.0,388,0.3870967741935484,388,0.3870967741935484,388,0.3870967741935484
breast_cancer,global_topk,gini_gain,388,0.3870967741935484,0.0,388.0,0.0,0.8527472527472527,0.0,388,0.3870967741935484,388,0.3870967741935484,388,0.3870967741935484
breast_cancer,global_topk,information_gain,388,0.3870967741935484,0.0,388.0,0.0,0.8527472527472527,0.0,388,0.3870967741935484,388,0.3870967741935484,388,0.3870967741935484
