dataset,seed,n_classes,train_size,test_size,train_class_counts,test_class_counts,numeric_feature_count,categorical_feature_count,encoded_feature_count,total_classifiers_mean,total_classifiers_min,total_classifiers_max,singleton_tp1_rate,fp_zero_rate
sonar,2001,2,166,42,"[89, 77]","[22, 20]",60,0,60,166.0,166,166,1.0,1.0
sonar,2002,2,166,42,"[89, 77]","[22, 20]",60,0,60,166.0,166,166,1.0,1.0
sonar,2003,2,166,42,"[89, 77]","[22, 20]",60,0,60,166.0,166,166,1.0,1.0
sonar,2004,2,166,42,"[89, 77]","[22, 20]",60,0,60,166.0,166,166,1.0,1.0
sonar,2005,2,166,42,"[89, 77]","[22, 20]",60,0,60,166.0,166,166,1.0,1.0
sonar,2006,2,166,42,"[89, 77]","[22, 20]",60,0,60,166.0,166,166,1.0,1.0
sonar,2007,2,166,42,"[89, 77]","[22, 20]",60,0,60,166.0,166,166,1.0,1.0
spambase,1998,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.6544561086720483,0.7888206344710381
spambase,1999,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.6636176415049804,0.7962590874758061
spambase,2000,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.6493054572062503,0.776362531275079
spambase,2001,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.658102900911108,0.7836679176698296
spambase,2002,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.6510981683425389,0.7837328282113015
spambase,2003,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.6537544847283199,0.7858276684133503
spambase,2004,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.6522730491431808,0.7714632606335269
spambase,2005,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.6494880918661191,0.781121654156635
spambase,2006,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.6516870839824388,0.7791017561251947
spambase,2007,2,3680,921,"[2230, 1450]","[558, 363]",57,0,57,3680.0,3680,3680,0.6536588892036067,0.7862088703205401
waveform,1998,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.9992587390091602,0.9994888447375908
waveform,1999,2,2643,661,"[1325, 1318]","[332, 329]",20,0,20,2643.0,2643,2643,0.9993114000216368,0.9996977715805688
