rank,candidate_class,source_index_within_class,tp,fp,query_similarity,query_weighted_precision
1,1,942,1,0,0.9706765658839375,0.9706765658839375
2,1,823,1,0,0.9528035028092461,0.9528035028092461
3,1,1283,1,0,0.943893635595237,0.943893635595237
4,1,622,1,0,0.9431449343494646,0.9431449343494646
5,1,123,2,0,0.9410268359914892,0.9410268359914892
