dataset,classifier,mean_macro_f1_percent,ci95_half_width_percent,std_macro_f1_percent,repeat_scores,best_params_summary,successful_repeats
breast_cancer,fcalc,90.8874,2.2404,3.1318,"[89.9965, 92.2051, 94.223, 93.1367, 93.1367, 91.0588, 94.1538, 88.3077, 87.9958, 84.6595]","[{""cv_f1"": 0.9318544193814592, ""family"": ""proximity"", ""method"": ""proximity""}, {""cv_f1"": 0.9193483032241465, ""family"": ""proximity"", ""method"": ""proximity""}, {""cv_f1"": 0.9167675228032339, ""family"": ""proximity"", ""method"": ""proximity""}, {""cv_f1"": 0.9244355444297243, ""family"": ""proximity"", ""method"": ""proximity""}, {""cv_f1"": 0.9246161206207679, ""family"": ""proximity"", ""method"": ""proximity""}, {""cv_f1"": 0.9322877745916097, ""family"": ""proximity"", ""method"": ""proximity""}, {""cv_f1"": 0.9217692619246864, ""family"": ""proximity"", ""method"": ""proximity""}, {""cv_f1"": 0.9290226240284903, ""family"": ""proximity"", ""method"": ""proximity""}, {""cv_f1"": 0.9315440000527818, ""family"": ""proximity"", ""method"": ""proximity""}, {""cv_f1"": 0.9317588083677867, ""family"": ""proximity"", ""method"": ""proximity""}]",10
breast_cancer,fcalc_rand,93.6823,2.8871,4.0359,"[86.7049, 96.1486, 94.3452, 98.0956, 98.1151, 95.1576, 95.1576, 95.2638, 88.9174, 88.9174]","[{""cv_f1"": 0.9556513909071287, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 20, ""subsample_size"": 5}, {""cv_f1"": 0.9536923448302094, ""family"": ""standard"", ""method"": ""ratio-support"", ""num_iters"": 40, ""subsample_size"": 9}, {""cv_f1"": 0.9591858014197026, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 30, ""subsample_size"": 6}, {""cv_f1"": 0.9463220310871898, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 50, ""subsample_size"": 6}, {""cv_f1"": 0.9649579379553608, ""family"": ""standard"", ""method"": ""ratio-support"", ""num_iters"": 50, ""subsample_size"": 9}, {""cv_f1"": 0.9599663906084785, ""family"": ""proximity"", ""method"": ""proximity-support"", ""num_iters"": 50, ""subsample_size"": 10}, {""cv_f1"": 0.9618350227107033, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 20, ""subsample_size"": 6}, {""cv_f1"": 0.9573050823812064, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 40, ""subsample_size"": 8}, {""cv_f1"": 0.9524351238970767, ""family"": ""standard"", ""method"": ""ratio-support"", ""num_iters"": 30, ""subsample_size"": 5}, {""cv_f1"": 0.9593402018727188, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 20, ""subsample_size"": 8}]",10
breast_cancer,ips_knn,95.3225,2.0825,2.9111,"[94.1538, 96.1486, 99.0528, 96.1486, 97.1583, 96.1911, 96.1911, 97.1583, 92.1053, 88.9174]","[{""k"": 5}, {""k"": 8}, {""k"": 10}, {""k"": 6}, {""k"": 5}, {""k"": 3}, {""k"": 4}, {""k"": 6}, {""k"": 9}, {""k"": 5}]",10
breast_cancer,knn,95.1403,1.9487,2.7241,"[93.2206, 96.1486, 99.0528, 96.1486, 97.1583, 94.223, 96.1911, 97.1583, 92.1053, 89.9965]","[{""n_neighbors"": 4, ""weights"": ""distance""}, {""n_neighbors"": 5, ""weights"": ""uniform""}, {""n_neighbors"": 10, ""weights"": ""distance""}, {""n_neighbors"": 11, ""weights"": ""uniform""}, {""n_neighbors"": 7, ""weights"": ""uniform""}, {""n_neighbors"": 9, ""weights"": ""uniform""}, {""n_neighbors"": 6, ""weights"": ""distance""}, {""n_neighbors"": 5, ""weights"": ""uniform""}, {""n_neighbors"": 9, ""weights"": ""distance""}, {""n_neighbors"": 6, ""weights"": ""distance""}]",10
breast_cancer,naive_bayes,92.0059,2.173,3.0376,"[87.2538, 92.2973, 96.266, 93.2206, 95.2129, 91.1757, 95.2638, 89.7775, 91.2837, 88.3077]","[{""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}, {""var_smoothing"": 1e-09}]",10
breast_cancer,logistic_regression,96.6065,2.036,2.8461,"[95.1576, 98.1151, 99.0528, 98.0956, 99.0528, 96.2302, 98.0956, 98.1151, 94.1538, 89.9965]","[{""C"": 1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 1, ""penalty"": ""l2"", ""solver"": ""lbfgs""}, {""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 1, ""penalty"": ""l2"", ""solver"": ""liblinear""}, {""C"": 1, ""penalty"": ""l1"", ""solver"": ""liblinear""}]",10
breast_cancer,svm,95.8866,1.9099,2.6699,"[92.2973, 97.1583, 99.0528, 97.1277, 99.0528, 96.2302, 98.0956, 94.4481, 93.2981, 92.1053]","[{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}, {""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 0.1, ""gamma"": ""scale"", ""kernel"": ""linear""}, {""C"": 0.1, ""gamma"": ""scale"", ""kernel"": ""linear""}, {""C"": 0.1, ""gamma"": ""scale"", ""kernel"": ""linear""}, {""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}, {""C"": 0.1, ""gamma"": ""scale"", ""kernel"": ""linear""}, {""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}, {""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}, {""C"": 0.1, ""gamma"": ""scale"", ""kernel"": ""linear""}]",10
breast_cancer,decision_tree,90.8572,2.0923,2.9248,"[89.6833, 92.2973, 89.2148, 91.0588, 97.1277, 92.3822, 91.7064, 90.7468, 87.9958, 86.359]","[{""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5}, {""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}, {""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5}, {""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}, {""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2}, {""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}, {""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5}, {""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2}]",10
breast_cancer,random_forest,95.0453,2.039,2.8503,"[91.4749, 94.223, 99.0621, 96.1486, 100.0, 95.2129, 93.4947, 94.4481, 95.2129, 91.1757]","[{""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 100}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}, {""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}]",10
breast_cancer,xgboost,96.5328,1.9235,2.6888,"[95.2638, 96.1486, 100.0, 95.1576, 100.0, 95.2129, 97.1583, 99.0621, 96.1486, 91.1757]","[{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}, {""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}]",10
