dataset,classifier,repeat,split_seed,macro_f1,macro_f1_percent,cv_macro_f1,best_params,elapsed_seconds,status,error
page_blocks,naive_bayes,10,2007,0.4766564512483673,47.66564512483673,0.5761495328968109,"{""var_smoothing"": 1e-09}",0.028,ok,
page_blocks,xgboost,1,1998,0.8505740204456961,85.05740204456961,0.8450675278150225,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",3.528,ok,
page_blocks,xgboost,2,1999,0.8588605381697487,85.88605381697488,0.8457671158639732,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",3.717,ok,
page_blocks,xgboost,3,2000,0.894954667407571,89.4954667407571,0.8604182723089722,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",4.817,ok,
page_blocks,xgboost,4,2001,0.8587092946186884,85.87092946186884,0.84846395638927,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",3.736,ok,
page_blocks,xgboost,5,2002,0.8884569938749085,88.84569938749085,0.8661842173829515,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",3.928,ok,
page_blocks,xgboost,6,2003,0.8776011422521661,87.76011422521661,0.8527744740269163,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",3.751,ok,
page_blocks,xgboost,7,2004,0.9106248085215616,91.06248085215614,0.8582490663999514,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",4.093,ok,
page_blocks,xgboost,8,2005,0.8840039693119272,88.40039693119272,0.8516101668434098,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",4.087,ok,
page_blocks,xgboost,9,2006,0.8351514008854126,83.51514008854126,0.8814467840002072,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",4.614,ok,
page_blocks,xgboost,10,2007,0.8453852072252813,84.53852072252813,0.8679509630109516,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",4.079,ok,
page_blocks,ips_knn,1,1998,0.8140152559307919,81.4015255930792,0.8049757588088612,"{""k"": 8}",131.219,ok,
page_blocks,ips_knn,2,1999,0.8481975633074506,84.81975633074505,0.8167255187708946,"{""k"": 2}",130.296,ok,
page_blocks,ips_knn,3,2000,0.861801470873574,86.1801470873574,0.8119231695776105,"{""k"": 5}",130.11,ok,
page_blocks,ips_knn,4,2001,0.8183804564874284,81.83804564874283,0.8171177005622428,"{""k"": 3}",129.97,ok,
page_blocks,ips_knn,5,2002,0.8458076146737478,84.58076146737477,0.8361084637206362,"{""k"": 2}",130.144,ok,
page_blocks,ips_knn,6,2003,0.8594993252361673,85.94993252361674,0.8341283310648266,"{""k"": 3}",130.252,ok,
page_blocks,ips_knn,7,2004,0.8655970345186657,86.55970345186657,0.8262005200272509,"{""k"": 3}",131.357,ok,
page_blocks,ips_knn,8,2005,0.7915013933434986,79.15013933434986,0.8134781473783026,"{""k"": 4}",130.019,ok,
page_blocks,ips_knn,9,2006,0.8125681591927236,81.25681591927236,0.8280584375010328,"{""k"": 3}",130.419,ok,
page_blocks,ips_knn,10,2007,0.8190025425700009,81.9002542570001,0.8397424581667652,"{""k"": 1}",130.013,ok,
page_blocks,knn,1,1998,0.8349580948806956,83.49580948806957,0.8009637623800747,"{""n_neighbors"": 3, ""weights"": ""distance""}",2.678,ok,
page_blocks,knn,2,1999,0.8690484177900748,86.90484177900748,0.8110286678190132,"{""n_neighbors"": 3, ""weights"": ""uniform""}",2.689,ok,
page_blocks,knn,3,2000,0.9052131920040892,90.52131920040893,0.8051494376691899,"{""n_neighbors"": 4, ""weights"": ""distance""}",2.662,ok,
page_blocks,knn,4,2001,0.8205068881024937,82.05068881024937,0.8163626304567669,"{""n_neighbors"": 5, ""weights"": ""distance""}",2.734,ok,
page_blocks,knn,5,2002,0.8356587120294942,83.56587120294941,0.8348426381773079,"{""n_neighbors"": 2, ""weights"": ""distance""}",2.64,ok,
page_blocks,knn,6,2003,0.8594993252361673,85.94993252361674,0.8342171269266693,"{""n_neighbors"": 3, ""weights"": ""distance""}",2.638,ok,
page_blocks,knn,7,2004,0.8488103607723216,84.88103607723217,0.826961681063765,"{""n_neighbors"": 3, ""weights"": ""uniform""}",2.623,ok,
page_blocks,knn,8,2005,0.782253490148227,78.2253490148227,0.8219668243814254,"{""n_neighbors"": 3, ""weights"": ""distance""}",2.56,ok,
page_blocks,knn,9,2006,0.8226058106169297,82.26058106169297,0.821932509593554,"{""n_neighbors"": 3, ""weights"": ""distance""}",2.477,ok,
page_blocks,knn,10,2007,0.8204767676767677,82.04767676767676,0.8398993045409563,"{""n_neighbors"": 2, ""weights"": ""distance""}",2.787,ok,
page_blocks,logistic_regression,1,1998,0.8241084997580467,82.41084997580467,0.7824970489128502,"{""C"": 10, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",8.944,ok,
page_blocks,logistic_regression,2,1999,0.8031825357185657,80.31825357185657,0.7886179985858683,"{""C"": 1000, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",8.403,ok,
page_blocks,logistic_regression,3,2000,0.8316738816738816,83.16738816738815,0.7792912875382965,"{""C"": 1, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",6.482,ok,
page_blocks,logistic_regression,4,2001,0.8246848333211615,82.46848333211615,0.800088504797355,"{""C"": 100, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",8.662,ok,
page_blocks,logistic_regression,5,2002,0.8053888471163384,80.53888471163384,0.8043279125491406,"{""C"": 100, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",13.966,ok,
page_blocks,logistic_regression,6,2003,0.8173131940604732,81.73131940604732,0.7670341095899756,"{""C"": 10000, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",8.638,ok,
page_blocks,logistic_regression,7,2004,0.8691074080463075,86.91074080463075,0.7848589192320341,"{""C"": 10000, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",7.919,ok,
page_blocks,logistic_regression,8,2005,0.8368888729346059,83.6888872934606,0.7864751186062184,"{""C"": 1000, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",8.285,ok,
page_blocks,logistic_regression,9,2006,0.7419786296097928,74.19786296097928,0.8130042097007726,"{""C"": 10, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",14.637,ok,
page_blocks,logistic_regression,10,2007,0.7505531561677238,75.05531561677238,0.7896204309981314,"{""C"": 1000, ""penalty"": ""l2"", ""solver"": ""lbfgs""}",7.69,ok,
page_blocks,svm,1,1998,0.7451153163283352,74.51153163283351,0.7588785095986789,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.325,ok,
page_blocks,svm,2,1999,0.8019578357658853,80.19578357658852,0.7663447388055977,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.337,ok,
page_blocks,svm,3,2000,0.8031294041364317,80.31294041364318,0.7684940299119344,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.37,ok,
page_blocks,svm,4,2001,0.7583666958722721,75.8366695872272,0.7699629934309056,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}",0.345,ok,
